(517, 539), (528, 535), (539, 533), (541, 539), (559, 548), (569, 539), (562, 535), (551, 544), (535, 564), (526, 567), (515, 578), (523, 591), (531, 589), (531, 600), (525, 601), (532, 602), (531, 594), (533, 568), (533, 548), (536, 542)
(557, 580), (561, 563), (568, 562), (568, 566), (581, 571), (603, 575), (601, 570), (598, 591), (588, 598), (590, 615), (606, 640), (604, 651), (592, 643), (587, 644), (578, 649), (571, 646), (569, 640), (575, 637), (585, 603), (588, 604)
(604, 626), (601, 617), (603, 613), (612, 617), (621, 620), (626, 609), (632, 606), (637, 623), (641, 637), (652, 653), (655, 666), (653, 674), (636, 669), (644, 685), (621, 670), (609, 663), (604, 656), (610, 643), (601, 633), (599, 622)
(642, 608), (644, 599), (642, 597), (646, 597), (655, 605), (661, 603), (670, 600), (686, 608), (693, 627), (705, 640), (713, 651), (697, 662), (681, 652), (681, 662), (666, 652), (651, 647), (637, 637), (637, 625), (638, 617), (639, 605)
(668, 561), (664, 558), (664, 562), (670, 564), (678, 571), (683, 571), (700, 573), (708, 581), (726, 588), (742, 608), (753, 611), (756, 615), (725, 602), (729, 608), (712, 597), (681, 580), (671, 566), (667, 565), (667, 566), (668, 563)
(668, 502), (657, 499), (657, 494), (662, 494), (671, 498), (670, 502), (704, 503), (710, 503), (719, 512), (745, 530), (753, 528), (766, 538), (738, 526), (726, 520), (710, 505), (696, 497), (684, 508), (674, 498), (673, 498), (665, 498)
(679, 438), (679, 438), (675, 426), (675, 427), (684, 430), (694, 426), (712, 410), (712, 397), (724, 396), (735, 404), (743, 409), (752, 413), (735, 408), (728, 406), (723, 413), (711, 411), (706, 412), (702, 413), (700, 409), (696, 403)
(697, 409), (697, 404), (694, 405), (695, 405), (701, 405), (699, 400), (702, 391), (711, 393), (723, 400), (735, 405), (747, 413), (748, 411), (737, 409), (735, 407), (725, 411), (711, 412), (705, 411), (704, 412), (701, 406), (698, 404)
(714, 366), (715, 365), (715, 362), (715, 365), (718, 368), (717, 360), (709, 351), (725, 351), (732, 360), (749, 363), (754, 364), (753, 371), (752, 363), (753, 363), (742, 366), (728, 370), (728, 372), (723, 370), (721, 369), (718, 363)
(761, 345), (759, 344), (755, 341), (760, 342), (757, 344), (762, 343), (765, 343), (782, 332), (801, 335), (820, 332), (817, 344), (823, 344), (802, 331), (793, 335), (787, 340), (767, 351), (768, 352), (764, 347), (763, 347), (758, 348)
(761, 331), (763, 333), (761, 328), (764, 325), (766, 323), (765, 318), (782, 316), (792, 307), (793, 306), (794, 298), (799, 309), (798, 310), (795, 303), (792, 302), (790, 305), (778, 315), (768, 319), (764, 321), (763, 325), (766, 329)
